,抗螟茄朝楼,posneg,rate
1,09岿 01老,0.6,-0.008562743
2,09岿 02老,0.611940299,-0.029449981
3,09岿 03老,0.651162791,0.015902476
4,09岿 04老,0.565217391,-0.013325455
5,09岿 07老,0.63190184,0.030305349
6,09岿 08老,0.64516129,-0.023945694
7,09岿 09老,0.441860465,-0.008934329
8,09岿 10老,0.672727273,0.006531702
9,09岿 11老,0.441176471,-0.016720647
10,09岿 14老,0.568862275,-0.007884404
11,09岿 15老,0.482142857,-0.009327183
12,09岿 16老,0.72972973,0.026597313
13,09岿 17老,0.5,-0.018397365
14,09岿 18老,0.576923077,-0.006715942
15,09岿 21老,0.651685393,0.010781776
16,09岿 22老,0.451612903,-0.019022313
17,09岿 23老,0.530612245,-0.022409901
18,09岿 24老,0.681818182,0.019337619
19,09岿 25老,0.743589744,-0.025246783
20,09岿 28老,0.563829787,-0.01272102
21,09岿 29老,0.555555556,0.034462404
22,10岿 05老,0.568807339,-0.027065252
23,10岿 06老,0.578947368,0.027361488
24,10岿 07老,0.52173913,0.021192846
25,10岿 08老,0.416666667,0.006591982
26,10岿 09老,0.625,-0.011803416
27,10岿 12老,0.411764706,-0.030486125
28,10岿 13老,0.75,-0.005361943
29,10岿 14老,0.454545455,-0.004062294
30,10岿 15老,0.333333333,-0.016438726
31,10岿 16老,0.545454545,-0.009742596
32,10岿 19老,0.695652174,-0.014064929
33,10岿 20老,0.78125,0.012848142
34,10岿 21老,0.541666667,0.007097262
35,10岿 22老,0.415384615,-0.007137789
36,10岿 23老,0.444444444,-0.024692613
37,10岿 26老,0.492753623,-0.022506576
38,10岿 27老,0.481927711,0.028855457
39,10岿 28老,0.636363636,0.032260862
40,10岿 29老,0.538461538,0.00291971
41,10岿 30老,0.866666667,-0.038637793
42,11岿 02老,0.424836601,0.01203022
43,11岿 03老,0.882352941,0.00596127
44,11岿 04老,0.5625,0.054299052
45,11岿 05老,0.642857143,0.011080446
46,11岿 06老,0.807692308,0.009491597
47,11岿 09老,0.636363636,-0.009377162
48,11岿 10老,0.378571429,-0.004204631
49,11岿 11老,0.455882353,0.011315538
50,11岿 12老,0.486486486,-0.006968669
51,11岿 13老,0.428571429,0.02914849
52,11岿 16老,0.5,-0.024557851
53,11岿 17老,0.59375,0.011111225
54,11岿 18老,0.684210526,0.015162248
55,11岿 19老,0.448275862,-0.005457039
56,11岿 20老,0.45,-0.002732242
57,11岿 23老,0.586206897,-0.004078864
58,11岿 24老,0.62962963,0.017579898
59,11岿 25老,0.685714286,-0.028208721
60,11岿 26老,0.714285714,0.017532479
61,11岿 27老,0.5,-0.006680052
62,11岿 30老,0.573770492,-0.013495481
63,12岿 01老,0.380952381,0.013441063
